Controller;Map;Coverage
REF;5k map_1;92.28% coverage
REF;5k map_2;91.72% coverage
REF;5k map_3;92.04% coverage
REF;5k map_4;91.76% coverage
REF;5k map_5;91.46% coverage
REF;5k map_6;92.12% coverage
REF;5k map_7;92.22% coverage
REF;5k map_8;91.02% coverage
REF;5k map_9;91.44% coverage
REF;5k map_10;91.96% coverage
REF;10k map_1;91.58% coverage
REF;10k map_2;92.43% coverage
REF;10k map_3;92.43% coverage
REF;10k map_4;92.20% coverage
REF;10k map_5;92.13% coverage
REF;10k map_6;92.10% coverage
REF;10k map_7;92.67% coverage
REF;10k map_8;92.17% coverage
REF;10k map_9;92.39% coverage
REF;10k map_10;92.78% coverage
REF;20k map_1;85.83% coverage
REF;20k map_2;85.52% coverage
REF;20k map_3;86.11% coverage
REF;20k map_4;86.20% coverage
REF;20k map_5;85.66% coverage
REF;20k map_6;86.02% coverage
REF;20k map_7;85.83% coverage
REF;20k map_8;85.55% coverage
REF;20k map_9;86.36% coverage
REF;20k map_10;85.89% coverage
REF;40k map_1;81.96% coverage
REF;40k map_2;82.39% coverage
REF;40k map_3;82.63% coverage
REF;40k map_4;82.44% coverage
REF;40k map_5;96.83% coverage
REF;40k map_6;84.32% coverage
REF;40k map_7;84.42% coverage
REF;40k map_8;84.17% coverage
REF;40k map_9;83.93% coverage
REF;40k map_10;84.17% coverage
REF;80k map_1;79.38% coverage
REF;80k map_2;79.28% coverage
REF;80k map_3;79.62% coverage
REF;80k map_4;79.55% coverage
REF;80k map_5;79.25% coverage
REF;80k map_6;79.47% coverage
REF;80k map_7;79.62% coverage
REF;80k map_8;79.16% coverage
REF;80k map_9;79.50% coverage
REF;80k map_10;79.72% coverage
CPG;5k map_1;4.74% coverage
CPG;5k map_2;5.06% coverage
CPG;5k map_3;5.18% coverage
CPG;5k map_4;4.24% coverage
CPG;5k map_5;5.58% coverage
CPG;5k map_6;3.40% coverage
CPG;5k map_7;5.30% coverage
CPG;5k map_8;4.42% coverage
CPG;5k map_9;5.72% coverage
CPG;5k map_10;5.36% coverage
CPG;10k map_1;3.95% coverage
CPG;10k map_2;3.99% coverage
CPG;10k map_3;3.61% coverage
CPG;10k map_4;3.79% coverage
CPG;10k map_5;3.55% coverage
CPG;10k map_6;3.45% coverage
CPG;10k map_7;3.59% coverage
CPG;10k map_8;3.64% coverage
CPG;10k map_9;3.99% coverage
CPG;10k map_10;3.32% coverage
CPG;20k map_1;2.58% coverage
CPG;20k map_2;2.37% coverage
CPG;20k map_3;2.51% coverage
CPG;20k map_4;2.35% coverage
CPG;20k map_5;2.57% coverage
CPG;20k map_6;2.65% coverage
CPG;20k map_7;2.36% coverage
CPG;20k map_8;2.63% coverage
CPG;20k map_9;2.83% coverage
CPG;20k map_10;2.77% coverage
CPG;40k map_1;1.93% coverage
CPG;40k map_2;2.04% coverage
CPG;40k map_3;2.14% coverage
CPG;40k map_4;2.05% coverage
CPG;40k map_5;1.91% coverage
CPG;40k map_6;1.96% coverage
CPG;40k map_7;1.89% coverage
CPG;40k map_8;2.01% coverage
CPG;40k map_9;1.98% coverage
CPG;40k map_10;2.04% coverage
CPG;80k map_1;1.52% coverage
CPG;80k map_2;1.60% coverage
CPG;80k map_3;1.50% coverage
CPG;80k map_4;1.49% coverage
CPG;80k map_5;1.49% coverage
CPG;80k map_6;1.48% coverage
CPG;80k map_7;1.64% coverage
CPG;80k map_8;1.64% coverage
CPG;80k map_9;1.55% coverage
CPG;80k map_10;1.50% coverage
